train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.8M
epoch 1/2000, train: loss=0.1448, val: psnr=22.0772, 1.6m 1.6m/52.0h
epoch 2/2000, train: loss=0.0578, val: psnr=28.2736, 1.5m 3.1m/51.2h
epoch 3/2000, train: loss=0.0425, val: psnr=28.6948, 1.5m 4.6m/50.9h
epoch 4/2000, train: loss=0.0402, val: psnr=29.2390, 1.5m 6.1m/50.9h
epoch 5/2000, train: loss=0.0390, val: psnr=29.1702, 1.5m 7.6m/50.9h
epoch 6/2000, train: loss=0.0379, val: psnr=29.2790, 1.5m 9.2m/50.9h
epoch 7/2000, train: loss=0.0373, val: psnr=29.3031, 1.5m 10.7m/50.9h
epoch 8/2000, train: loss=0.0371, val: psnr=29.8790, 1.5m 12.2m/50.9h
epoch 9/2000, train: loss=0.0364, val: psnr=29.9042, 1.5m 13.7m/50.9h
epoch 10/2000, train: loss=0.0367, val: psnr=29.6998, 1.5m 15.3m/50.9h
epoch 11/2000, train: loss=0.0358, val: psnr=29.4686, 1.5m 16.8m/50.9h
epoch 12/2000, train: loss=0.0359, val: psnr=29.9086, 1.5m 18.3m/50.9h
epoch 13/2000, train: loss=0.0349, val: psnr=29.4008, 1.5m 19.8m/50.9h
epoch 14/2000, train: loss=0.0351, val: psnr=29.6984, 1.5m 21.4m/50.9h
epoch 15/2000, train: loss=0.0345, val: psnr=29.8330, 1.5m 22.9m/50.9h
epoch 16/2000, train: loss=0.0343, val: psnr=29.8742, 1.5m 24.4m/50.9h
epoch 17/2000, train: loss=0.0347, val: psnr=29.8614, 1.5m 25.9m/50.9h
epoch 18/2000, train: loss=0.0341, val: psnr=30.0598, 1.5m 27.5m/50.9h
epoch 19/2000, train: loss=0.0344, val: psnr=29.9211, 1.5m 29.0m/50.9h
epoch 20/2000, train: loss=0.0333, val: psnr=29.8082, 1.5m 30.5m/50.9h
epoch 21/2000, train: loss=0.0346, val: psnr=29.6953, 1.5m 32.1m/50.9h
epoch 22/2000, train: loss=0.0335, val: psnr=29.7675, 1.5m 33.6m/50.9h
epoch 23/2000, train: loss=0.0337, val: psnr=29.6912, 1.5m 35.1m/50.9h
epoch 24/2000, train: loss=0.0337, val: psnr=29.4909, 1.5m 36.6m/50.9h
